product_id,product,seller,city,date,price,demand,festival,stock,volatility
20,Sony Bravia 65 inch,Flipkart,Bangalore,2024-01-02,87990,low,None,12,0.02
20,Sony Bravia 65 inch,Croma,Chennai,2024-01-01,91990,low,None,8,0.01
21,Mi TV 32 inch,Flipkart,Hyderabad,2024-01-01,12999,high,None,100,0.04
21,Mi TV 32 inch,Amazon,Hyderabad,2024-01-02,13499,high,None,80,0.04
21,Mi TV 32 inch,Mi Store,Delhi,2024-01-01,12499,very high,None,200,0.03
22,iPhone 14,Amazon,Mumbai,2024-01-01,59900,high,None,60,0.02
22,iPhone 14,Flipkart,Mumbai,2024-01-02,58900,high,None,70,0.02
22,iPhone 14,Croma,Delhi,2024-01-01,61900,medium,None,30,0.01
23,Samsung Galaxy S24,Amazon,Delhi,2024-01-01,79999,high,None,40,0.03
23,Samsung Galaxy S24,Flipkart,Delhi,2024-01-02,78999,high,None,45,0.03
23,Samsung Galaxy S24,Samsung Store,Bangalore,2024-01-01,81999,medium,None,25,0.02
24,OnePlus 12,Amazon,Hyderabad,2024-01-01,64999,high,None,50,0.03
24,OnePlus 12,Flipkart,Hyderabad,2024-01-02,63999,high,None,55,0.03
24,OnePlus 12,OnePlus Store,Mumbai,2024-01-01,64999,high,None,40,0.02
25,Realme GT 5,Flipkart,Chennai,2024-01-01,33999,medium,None,60,0.04
25,Realme GT 5,Amazon,Chennai,2024-01-02,34999,medium,None,50,0.04
26,AirPods Pro 2,Amazon,Mumbai,2024-01-01,24900,high,None,40,0.02
26,AirPods Pro 2,Flipkart,Mumbai,2024-01-02,24500,high,None,45,0.02
26,AirPods Pro 2,Croma,Delhi,2024-01-01,26900,medium,None,20,0.01
27,Samsung Buds 2 Pro,Amazon,Delhi,2024-01-01,11999,medium,None,50,0.03
27,Samsung Buds 2 Pro,Flipkart,Delhi,2024-01-02,11499,medium,None,60,0.03
28,boAt Airdopes 141,Amazon,Hyderabad,2024-01-01,1099,very high,None,500,0.06
28,boAt Airdopes 141,Flipkart,Hyderabad,2024-01-02,999,very high,None,600,0.06
28,boAt Airdopes 141,Meesho,Mumbai,2024-01-01,899,very high,None,1000,0.08
29,JBL Flip 6,Amazon,Bangalore,2024-01-01,11999,medium,None,40,0.03
29,JBL Flip 6,Flipkart,Bangalore,2024-01-02,11499,medium,None,50,0.03
29,JBL Flip 6,Croma,Chennai,2024-01-01,12999,low,None,20,0.02
30,Sony WF-1000XM5,Amazon,Chennai,2024-01-01,24990,medium,None,25,0.02
30,Sony WF-1000XM5,Flipkart,Chennai,2024-01-02,24490,medium,None,30,0.02
30,Sony WF-1000XM5,Croma,Mumbai,2024-01-01,26990,low,None,15,0.01
